Date,Open,High,Low,Close,Volume
9/6/24,223.95,225.24,219.77,220.82,"48,423,008"
9/5/24,221.63,225.48,221.52,222.38,"36,615,398"
9/4/24,221.66,221.78,217.48,220.85,"43,840,199"
9/3/24,228.55,229,221.17,222.77,"50,087,200"
8/30/24,230.19,230.4,227.48,229,"52,990,770"
8/29/24,230.1,232.92,228.88,229.79,"51,906,301"
8/28/24,227.92,229.86,225.68,226.49,"38,052,168"
8/27/24,226,228.85,224.89,228.03,"35,934,559"
8/26/24,226.76,227.28,223.89,227.18,"30,602,211"
8/23/24,225.66,228.22,224.33,226.84,"38,677,246"
8/22/24,227.79,228.34,223.9,224.53,"43,695,320"
8/21/24,226.52,227.98,225.05,226.4,"34,765,480"
8/20/24,225.77,227.17,225.45,226.51,"30,299,029"
8/19/24,225.72,225.99,223.04,225.89,"40,687,809"
8/16/24,223.92,226.83,223.65,226.05,"44,340,238"
8/15/24,224.6,225.35,222.76,224.72,"46,414,008"
8/14/24,220.57,223.03,219.7,221.72,"41,960,566"
8/13/24,219.01,221.89,219.01,221.27,"44,155,328"
8/12/24,216.07,219.51,215.6,217.53,"38,028,090"
8/9/24,212.1,216.78,211.97,216.24,"42,201,648"
8/8/24,213.11,214.2,208.83,213.31,"47,161,152"
8/7/24,206.9,213.64,206.39,209.82,"63,516,422"
8/6/24,205.3,209.99,201.07,207.23,"69,660,484"
8/5/24,199.09,213.5,196,209.27,"119,548,602"
8/2/24,219.15,225.6,217.71,219.86,"105,568,602"
8/1/24,224.37,224.48,217.02,218.36,"62,501,000"
7/31/24,221.44,223.82,220.63,222.08,"50,036,262"
7/30/24,219.19,220.33,216.12,218.8,"41,643,840"
7/29/24,216.96,219.3,215.75,218.24,"36,311,781"
7/26/24,218.7,219.49,216.01,217.96,"41,601,352"
7/25/24,218.93,220.85,214.62,217.49,"51,391,199"
7/24/24,224,224.8,217.13,218.54,"61,777,578"
7/23/24,224.37,226.94,222.68,225.01,"39,960,262"
7/22/24,227.01,227.78,223.09,223.96,"48,201,840"
7/19/24,224.82,226.8,223.28,224.31,"49,151,449"
7/18/24,230.28,230.44,222.27,224.18,"66,034,594"
7/17/24,229.45,231.46,226.64,228.88,"57,345,879"
7/16/24,235,236.27,232.33,234.82,"43,234,281"
7/15/24,236.48,237.23,233.09,234.4,"62,631,246"
7/12/24,228.92,232.64,228.68,230.54,"53,046,527"
7/11/24,231.39,232.39,225.77,227.57,"64,710,621"
7/10/24,229.3,233.08,229.25,232.98,"62,627,688"
7/9/24,227.93,229.4,226.37,228.68,"48,169,820"
7/8/24,227.09,227.85,223.25,227.82,"59,085,859"
7/5/24,221.65,226.45,221.65,226.34,"60,412,406"
7/3/24,220,221.55,219.03,221.55,"37,369,801"
7/2/24,216.15,220.38,215.1,220.27,"58,046,180"
7/1/24,212.09,217.51,211.92,216.75,"60,402,930"
6/28/24,215.77,216.07,210.3,210.62,"82,542,719"
6/27/24,214.69,215.74,212.35,214.1,"49,772,711"
6/26/24,211.5,214.86,210.64,213.25,"66,213,195"
6/25/24,209.15,211.38,208.61,209.07,"56,713,871"
6/24/24,207.72,212.7,206.59,208.14,"80,727,008"
6/21/24,210.39,211.89,207.11,207.49,"246,421,406"
6/20/24,213.93,214.24,208.85,209.68,"86,172,445"
6/18/24,217.59,218.63,213,214.29,"79,943,250"
6/17/24,213.37,218.95,212.72,216.67,"93,728,305"
6/14/24,213.85,215.17,211.3,212.49,"70,122,750"
6/13/24,214.74,216.75,211.6,214.24,"97,862,727"
6/12/24,207.37,220.2,206.9,213.07,"198,134,297"
6/11/24,193.65,207.16,193.63,207.15,"172,373,297"
6/10/24,196.9,197.3,192.15,193.12,"97,262,078"
6/7/24,194.65,196.94,194.14,196.89,"53,103,910"
6/6/24,195.69,196.5,194.17,194.48,"41,181,754"
6/5/24,195.4,196.9,194.87,195.87,"54,156,793"
6/4/24,194.64,195.32,193.03,194.35,"47,471,449"
6/3/24,192.9,194.99,192.52,194.03,"50,080,539"
5/31/24,191.44,192.57,189.91,192.25,"75,158,281"
